Id,Date,latitude,longitude,PK_SiteClass,ClassName,SiteName,Description,FK_Site,Elevation
0,x10/16/2020,32.67962398,-110.2752235,3785e45c-fd7e-4b39-b191-00243aee0367,West Lower Home Pasture,03-05-04-00429-29K-K01,From Shapefile,a114e69b-0292-47d1-b68e-b9c6be0a2bc1,
1,x10/17/2020,32.07638537,-110.4392844,3c605739-dd5c-499b-8d9f-01097194631b,East Pasture,03-05-05-00520-003-C02,Fromn Shapefile,0a78ab90-1534-4efc-938d-14535a736a9f,
2,x10/18/2011,32.48113306,-109.8036401,0df776c1-d28b-4edb-8d08-01b8c8867278,Gillman Pasture,03-05-04-00420-20C-K01A,,2fe18d75-5b3e-40ce-9359-3c04dd46ccb6,
3,x10/18/2011,32.45194029,-109.7872916,0df776c1-d28b-4edb-8d08-01b8c8867278,Gillman Pasture,03-05-04-00420-20C-K04,,d0cb1a36-cf96-4121-a0d4-55169f9e740d,
4,x10/7/2010,31.65502407,-110.7686151,3239e471-6b2a-43f6-99c8-01e031f63e20,Upper Big Casa Blanca Pasture,03-05-02-00250-011-P05,,ac30afd0-5c5b-4c5b-b7e2-bcb969efede0,4809
5,x3/2/2006,31.51321167,-111.3116022,df0e55a3-cb7b-47d2-bb91-022c8fe196fb,Cumaro Pasture,03-05-02-00205-002-C02,,8a6ec76f-2ca5-44b0-a9b6-7547f7461cae,4075
6,x9/22/2020,31.70105134,-109.2267733,770346b1-a25b-44dc-a15f-02fc275823ad,Heifer Pasture,03-05-01-00117-174-C01,From Shapefile,5345e36e-90cd-4852-ad0e-78788d5eae42,5175
7,x10/15/2012,31.50764497,-110.5193935,ee490e43-dd24-4386-997e-0314af835243,Lower Pauline Pasture,03-05-03-00332-005-C01,t-post next to C1T1 00 stake,7291767d-4a96-4d92-a011-ad29b2c16936,
8,x10/17/2020,31.51679744,-110.5350709,ee490e43-dd24-4386-997e-0314af835243,Lower Pauline Pasture,03-05-03-00332-005-C02,From Shapefile,5fd603f7-2189-4513-983b-e12009d1be09,
9,x9/19/2020,31.8503751,-110.0253508,fc53e97f-7b88-4180-96a0-03435361a453,West Pasture,03-05-01-00155-552-C04,From Shapefile,a997742a-10b2-4cc3-ab2f-76acfe5b719c,
10,x10/17/2020,32.05956844,-110.5550595,f7a24932-aa1e-40bb-829c-04ac6b8d8975,Hidden Springs Pasture,03-05-05-00525-001-C01,From Shapefile,6d225bb9-2e7b-48db-9d5e-16eee85d1540,
