unit_name,unit_code,state,region,unit_type,created_by,date_est,POINT-X,POINT-Y,EXTENT_MIN_X,EXTENT_MIN_Y,EXTENT_MAX_X,EXTENT_MAX_Y,description,metadata,filename,image,caption
Saint Croix Island International Historic Site,SACR,ME,NE,International Historic Site,Legacy,1949-06-08T00:00:00Z,-67.133021,45.128012,-67.13591842,45.12494534,-67.13109442,45.13062837,"The winter of 1604-1605 on Saint Croix Island was a cruel one for Pierre Dugua's French expedition. Iced in by freezing temperatures and cut off from fresh water and game, 35 of 79 men died. As spring arrived and native people traded game for bread, the health of those remaining improved. Although the expedition moved on by summer, the beginning of French presence in North America had begun.",https://www.nps.gov/sacr/,2602356E-1DD8-B71B-0B0533AB23A7C7DB.jpg,https://www.nps.gov/common/uploads/banner_image/ner/2602356E-1DD8-B71B-0B0533AB23A7C7DB.jpg,Sunrise over Saint Croix Island
Antietam National Battlefield,ANTI,MD,NC,National Battlefield,Lands,1890-08-30T00:00:00Z,-77.738052,39.470107,-77.76216323,39.40559344,-77.61673302,39.49705391,"23,000 soldiers were killed, wounded or missing after twelve hours of savage combat on September 17, 1862. The Battle of Antietam ended the Confederate Army of Northern Virginia's first invasion into the North and led to Abraham Lincoln's issuance of the preliminary Emancipation Proclamation.",https://www.nps.gov/anti/,F6E6C201-1DD8-B71B-0BFA608807233790.jpg,https://www.nps.gov/common/uploads/banner_image/ncr/F6E6C201-1DD8-B71B-0BFA608807233790.jpg,Sunrise at Antietam National Battlefield
Big Hole National Battlefield,BIHO,MT,PW,National Battlefield,Legacy,1910-06-23T00:00:00Z,-113.650148,45.646918,-113.6602656,45.63588036,-113.6318335,45.6564712,"On August 9, 1877 gun shots shattered a chilly dawn on a sleeping camp of Nez Perce. By the time the smoke cleared on August 10, almost 90 Nez Perce were dead along with 31 soldiers and volunteers. Big Hole National Battlefield was created to honor all who were there.",https://www.nps.gov/biho/,573876B7-1DD8-B71B-0BBF5386EB517729.jpg,https://www.nps.gov/common/uploads/banner_image/pwr/573876B7-1DD8-B71B-0BBF5386EB517729.jpg,Commemorative horseback ride of a chief.
Moores Creek National Battlefield,MOCR,NC,SE,National Battlefield,Lands,1926-06-02T00:00:00Z,-78.110311,34.458208,-78.11624274,34.45499604,-78.10471131,34.46157941,"Loyalists were unaware of what they would encounter as they charged across a partially dismantled Moores Creek Bridge on February 27, 1776. Just beyond the bridge nearly 1,000 North Carolina patriots waited quietly with cannons and muskets poised to fire. This dramatic victory ended British rule in the colony forever.",https://www.nps.gov/mocr/,C642669B-1DD8-B71B-0B6D05947F435372.jpg,https://www.nps.gov/common/uploads/banner_image/akr/C642669B-1DD8-B71B-0B6D05947F435372.jpg,Mother Covington boomed her disapproval.
Petersburg National Battlefield,PETE,VA,NE,National Battlefield,Lands,1926-07-03T00:00:00Z,-77.363017,37.227995,-77.64221914,37.13304448,-77.27132151,37.31766772,"Nine and a half months, 70,000 casualties, the suffering of civilians, thousands of U. S. Colored Troops fighting for the freedom of their race, and the decline of Gen. Robert E. Lee's Army of No. Virginia all describe the Siege of Petersburg. It was here Gen. Ulysses S. Grant cut off all of Petersburg's supply lines ensuring the fall of Richmond on April 3, 1865. Six days later, Lee surrendered.",https://www.nps.gov/pete/,5FDF51AE-1DD8-B71B-0B176CD0856176F5.jpg,https://www.nps.gov/common/uploads/banner_image/ner/5FDF51AE-1DD8-B71B-0B176CD0856176F5.jpg,
Stones River National Battlefield,STRI,TN,SE,National Battlefield,Legacy,1927-03-03T00:00:00Z,-86.43408,35.873187,-86.44366311,35.84934336,-86.40758104,35.89260656,"The Battle of Stones River began on the last day of 1862 and was one of the bloodiest conflicts of the Civil War. The battle produced important military and political gains for the Union, and it changed forever the people who lived and fought here.",https://www.nps.gov/stri/,15E7E26B-1DD8-B71B-0BC1008BE8662F64.jpg,https://www.nps.gov/common/uploads/banner_image/akr/15E7E26B-1DD8-B71B-0BC1008BE8662F64.jpg,The sun rises over a field of green grass with a cannon in the foreground.
Cowpens National Battlefield,COWP,SC,SE,National Battlefield,Lands,1929-03-04T00:00:00Z,-81.80931,35.131473,-81.82396436,35.11954245,-81.79320045,35.14596136,"A pasturing area at the time of the battle, this Revolutionary War site commemorates the place where Daniel Morgan and his army turned the flanks of Banastre Tarleton's British army. This classic military tactic, known as a double envelopment, was one of only a few in history.",https://www.nps.gov/cowp/,C4CBF35A-1DD8-B71B-0B5864547193C501.jpg,https://www.nps.gov/common/uploads/banner_image/akr/C4CBF35A-1DD8-B71B-0B5864547193C501.jpg,"Snow covers the sign at the front gate, the trees behind it, and the ground in front of it."
Fort Necessity National Battlefield,FONE,PA,NE,National Battlefield,Lands,1931-03-04T00:00:00Z,-79.588691,39.810037,-79.64599031,39.80143732,-79.57413361,39.88094699,"The battle at Fort Necessity in the summer of 1754 was the opening action of the French and Indian War. This war was a clash of British, French and American Indian cultures. It ended with the removal of French power from North America. The stage was set for the American Revolution.",https://www.nps.gov/fone/,EC830E3B-1DD8-B71B-0BE2177B00125902.JPG,https://www.nps.gov/common/uploads/banner_image/ner/EC830E3B-1DD8-B71B-0BE2177B00125902.JPG,Fort Necessity and British Navel Flag
Tupelo National Battlefield,TUPE,MS,SE,National Battlefield,Lands,1933-08-10T00:00:00Z,-88.737086,34.255577,-88.7374175,34.25527796,-88.73675495,34.25587614,"In July, 1864, Union forces, including men from the United States Colored Troops, marched into Tupelo, Mississippi. Disorganized Confederate soldiers fought fiercely but could not overpower the federal troops. Neither side could claim a clear victory, but Union troops had succeeded in their main goal: keeping the Confederates away from Union railroads in Tennessee.",https://www.nps.gov/tupe/,C84BC09B-1DD8-B71B-0B85BA6DF3D38047.jpg,https://www.nps.gov/common/uploads/banner_image/akr/C84BC09B-1DD8-B71B-0B85BA6DF3D38047.jpg,Monument and cannon at Tupelo National Battlefield
Fort Donelson National Battlefield,FODO,TN,SE,National Battlefield,Lands,1933-08-10T00:00:00Z,-87.8609,36.487274,-88.07358767,36.4652485,-87.82749267,36.51189293,"""Fort Donelson will hereafter be marked in Capitals on the maps of our United Country..."" Brigadier General Ulysses S. Grant was becoming quite famous as he wrote these words following the surrender of Confederate Fort Donelson on Sunday, February 16, 1862. The Union victory at Fort Donelson elated the North, and stunned the South. Within days of the surrender, Clarksville and Nashville would fall into Union hands. Grant and his troops had created a pathway to victory for the Union.",https://www.nps.gov/fodo/,BF9AAD87-1DD8-B71B-0B3E9D215F6E7663.jpg,https://www.nps.gov/common/uploads/banner_image/akr/BF9AAD87-1DD8-B71B-0B3E9D215F6E7663.jpg,Ulysses S. Grant's communication to Simon B. Buckner
